symptoms,condition,deficiency_type,causes,recommended_foods,supplements,yoga,sleep_hours,water_intake_liters,risk_level
"fatigue weakness pale skin dizziness","Iron Deficiency Anemia","Mineral","Low iron intake and poor absorption","Spinach beetroot dates jaggery beans","Iron with vitamin C tablets","Anulom Vilom Bhastrika","7-8","3","High"
"bone pain weak bones fractures","Vitamin D Deficiency","Vitamin","Lack of sunlight and low calcium","Milk eggs fish mushrooms","Vitamin D3 tablets","Surya Namaskar","7-8","3","High"
"bleeding gums slow healing cold","Vitamin C Deficiency","Vitamin","Low fruit intake","Orange lemon guava amla","Vitamin C tablets","Pranayama","7","2.5","Medium"
"poor night vision dry eyes","Vitamin A Deficiency","Vitamin","Low vitamin A foods","Carrot spinach sweet potato milk","Vitamin A capsules","Eye yoga","7","2.5","Medium"
"muscle cramps body pain fatigue","Magnesium Deficiency","Mineral","Poor diet and dehydration","Nuts seeds whole grains banana","Magnesium supplements","Stretch yoga","7","3","Medium"
"hair fall brittle nails weakness","Protein Deficiency","Macronutrient","Low protein intake","Eggs pulses milk fish paneer","Protein powder","Yoga digestion","7-8","3","High"
"weight gain cold intolerance","Thyroid Imbalance","Hormonal","Iodine deficiency and stress","Iodized salt fruits vegetables","Doctor prescribed medicine","Thyroid yoga","8","3","High"
"frequent urination thirst tiredness","Diabetes","Lifestyle","High sugar intake","Vegetables whole grains millets","Doctor prescribed medicine","Walking yoga","7","3","High"
"dry mouth headache dizziness","Dehydration","Lifestyle","Low water intake","Water fruits coconut water","ORS","Relaxation yoga","7","4","High"
"low immunity frequent infections","Zinc Deficiency","Mineral","Low zinc intake","Nuts seeds legumes","Zinc supplements","Pranayama","7","3","Medium"
"joint pain weak bones back pain","Calcium Deficiency","Mineral","Low calcium and vitamin D","Milk curd cheese sesame","Calcium tablets","Surya Namaskar","7-8","3","High"
"numbness tingling fatigue","Vitamin B12 Deficiency","Vitamin","Poor absorption","Milk eggs fish cereals","B12 supplements","Pranayama","7","3","High"
"mouth ulcers poor appetite","Vitamin B Complex Deficiency","Vitamin","Stress and poor diet","Whole grains banana egg","B-complex tablets","Anulom Vilom","7","2.5","Medium"
"weight loss hunger weakness","Malnutrition","General","Inadequate nutrition","Rice pulses milk vegetables","Multivitamins","Balancing yoga","8","3","High"
"headache dizziness pressure","Hypertension","Lifestyle","High salt stress","Fruits vegetables low salt diet","Doctor prescribed medicine","Meditation","7","3","High"
"bloating constipation","Fiber Deficiency","Macronutrient","Low fiber intake","Fruits vegetables oats","Fiber supplements","Pavanamuktasana","7","3","Medium"
"poor focus memory loss","Omega 3 Deficiency","Fat","Low healthy fat intake","Fish walnuts flaxseed","Omega 3 capsules","Meditation","7","3","Medium"
"muscle weakness heartbeat issue","Potassium Deficiency","Mineral","Low potassium intake","Banana potato spinach","Potassium supplements","Stretch yoga","7","3","High"
"slow growth frequent illness","Protein Energy Malnutrition","Macronutrient","Low calorie intake","Milk eggs rice pulses","Protein supplements","Gentle yoga","8","3","High"
"stress anxiety sleep problem","Magnesium and B Deficiency","Vitamin Mineral","Stress and poor nutrition","Nuts whole grains","Magnesium B tablets","Meditation","8","3","Medium"
